"District_Name","FIR_Year","FIR_Stage","UnitName","Male","Female","Boy","Girl","FIR_Type","Accused_Count","Arrested_Count","Latitude","Longitude"
"DEMO North District","2022","Pending Trial","DEMO Station 1","","","1","1","Heinous","1","0","",""
"DEMO North District","2022","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","13.081","77.091"
"DEMO North District","2022","Undetected","DEMO Station 3","2","0","0","0","Non Heinous","3","2","13.162","77.182"
"DEMO North District","2022","Dis/Acq","DEMO Station 1","0","1","0","0","Heinous","4","3","13.003","77.003"
"DEMO North District","2022","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","13.084","77.094"
"DEMO North District","2022","Convicted","DEMO Station 3","2","0","1","0","Non Heinous","2","2","13.165","77.185"
"DEMO North District","2022","Undetected","DEMO Station 1","0","1","0","0","Heinous","3","2","13.006","77.006"
"DEMO North District","2022","Dis/Acq","DEMO Station 2","1","2","0","1","Non Heinous","4","2","13.087","77.097"
"DEMO North District","2022","Pending Trial","DEMO Station 3","2","0","0","0","Non Heinous","1","0","13.168","77.188"
"DEMO North District","2022","Convicted","DEMO Station 1","0","1","0","0","Heinous","2","0","13.009","77.009"
"DEMO North District","2022","Undetected","DEMO Station 2","1","2","1","0","Non Heinous","3","2","13.09","77.1"
"DEMO North District","2022","Dis/Acq","DEMO Station 3","","","0","0","Non Heinous","4","1","",""
"DEMO North District","2023","Pending Trial","DEMO Station 1","","","1","1","Heinous","1","0","",""
"DEMO North District","2023","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","13.0811","77.091"
"DEMO North District","2023","Undetected","DEMO Station 3","2","0","0","0","Non Heinous","3","2","13.1621","77.182"
"DEMO North District","2023","Dis/Acq","DEMO Station 1","0","1","0","0","Heinous","4","3","13.0031","77.003"
"DEMO North District","2023","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","13.0841","77.094"
"DEMO North District","2023","Convicted","DEMO Station 3","2","0","1","0","Non Heinous","2","2","13.1651","77.185"
"DEMO North District","2023","Undetected","DEMO Station 1","0","1","0","0","Heinous","3","2","13.0061","77.006"
"DEMO North District","2023","Dis/Acq","DEMO Station 2","1","2","0","1","Non Heinous","4","2","13.0871","77.097"
"DEMO North District","2023","Pending Trial","DEMO Station 3","2","0","0","0","Non Heinous","1","0","13.1681","77.188"
"DEMO North District","2023","Convicted","DEMO Station 1","0","1","0","0","Heinous","2","0","13.0091","77.009"
"DEMO North District","2023","Undetected","DEMO Station 2","1","2","1","0","Non Heinous","3","2","13.0901","77.1"
"DEMO North District","2023","Dis/Acq","DEMO Station 3","","","0","0","Non Heinous","4","1","",""
"DEMO North District","2023","Pending Trial","DEMO Station 1","0","1","0","0","Heinous","1","0","13.0121","77.012"
"DEMO North District","2023","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","13.0931","77.103"
"DEMO North District","2023","Undetected","DEMO Station 3","2","0","0","1","Non Heinous","3","2","13.1741","77.194"
"DEMO North District","2023","Dis/Acq","DEMO Station 1","0","1","1","0","Heinous","4","0","13.0151","77.015"
"DEMO North District","2023","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","13.0961","77.106"
"DEMO North District","2023","Convicted","DEMO Station 3","2","0","0","0","Non Heinous","2","2","13.1771","77.197"
"DEMO North District","2024","Pending Trial","DEMO Station 1","","","1","1","Heinous","1","0","",""
"DEMO North District","2024","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","13.0812","77.091"
"DEMO North District","2024","Undetected","DEMO Station 3","2","0","0","0","Non Heinous","3","2","13.1622","77.182"
"DEMO North District","2024","Dis/Acq","DEMO Station 1","0","1","0","0","Heinous","4","3","13.0032","77.003"
"DEMO North District","2024","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","13.0842","77.094"
"DEMO North District","2024","Convicted","DEMO Station 3","2","0","1","0","Non Heinous","2","2","13.1652","77.185"
"DEMO North District","2024","Undetected","DEMO Station 1","0","1","0","0","Heinous","3","2","13.0062","77.006"
"DEMO North District","2024","Dis/Acq","DEMO Station 2","1","2","0","1","Non Heinous","4","2","13.0872","77.097"
"DEMO North District","2024","Pending Trial","DEMO Station 3","2","0","0","0","Non Heinous","1","0","13.1682","77.188"
"DEMO North District","2024","Convicted","DEMO Station 1","0","1","0","0","Heinous","2","0","13.0092","77.009"
"DEMO North District","2024","Undetected","DEMO Station 2","1","2","1","0","Non Heinous","3","2","13.0902","77.1"
"DEMO North District","2024","Dis/Acq","DEMO Station 3","","","0","0","Non Heinous","4","1","",""
"DEMO North District","2024","Pending Trial","DEMO Station 1","0","1","0","0","Heinous","1","0","13.0122","77.012"
"DEMO North District","2024","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","13.0932","77.103"
"DEMO North District","2024","Undetected","DEMO Station 3","2","0","0","1","Non Heinous","3","2","13.1742","77.194"
"DEMO North District","2024","Dis/Acq","DEMO Station 1","0","1","1","0","Heinous","4","0","13.0152","77.015"
"DEMO North District","2024","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","13.0962","77.106"
"DEMO North District","2024","Convicted","DEMO Station 3","2","0","0","0","Non Heinous","2","2","13.1772","77.197"
"DEMO North District","2024","Undetected","DEMO Station 1","0","1","0","0","Heinous","3","2","13.0182","77.018"
"DEMO North District","2024","Dis/Acq","DEMO Station 2","1","2","0","0","Non Heinous","4","4","13.0992","77.109"
"DEMO North District","2024","Pending Trial","DEMO Station 3","2","0","1","0","Non Heinous","1","0","13.1802","77.2"
"DEMO North District","2024","Convicted","DEMO Station 1","0","1","0","1","Heinous","2","0","13.0212","77.021"
"DEMO North District","2024","Undetected","DEMO Station 2","","","0","0","Non Heinous","3","2","",""
"DEMO North District","2024","Dis/Acq","DEMO Station 3","2","0","0","0","Non Heinous","4","3","13.1832","77.203"
"DEMO Central District","2022","Pending Trial","DEMO Station 1","","","1","1","Heinous","1","0","",""
"DEMO Central District","2022","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","14.081","76.091"
"DEMO Central District","2022","Undetected","DEMO Station 3","2","0","0","0","Non Heinous","3","2","14.162","76.182"
"DEMO Central District","2022","Dis/Acq","DEMO Station 1","0","1","0","0","Heinous","4","3","14.003","76.003"
"DEMO Central District","2022","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","14.084","76.094"
"DEMO Central District","2022","Convicted","DEMO Station 3","2","0","1","0","Non Heinous","2","2","14.165","76.185"
"DEMO Central District","2022","Undetected","DEMO Station 1","0","1","0","0","Heinous","3","2","14.006","76.006"
"DEMO Central District","2022","Dis/Acq","DEMO Station 2","1","2","0","1","Non Heinous","4","2","14.087","76.097"
"DEMO Central District","2022","Pending Trial","DEMO Station 3","2","0","0","0","Non Heinous","1","0","14.168","76.188"
